id,employee_id,day_of_week,start_time,end_time,created_at,updated_at,shift_id
00b6d857-32d8-4bee-bbf7-3dbe767d9009,03163a5e-ec7e-4894-a90f-b65d181e1328,5,09:00:00,19:00:00,2024-12-30 20:21:59.416959+00,2024-12-30 20:21:59.416959+00,cc7a72d4-8ae4-4a84-b422-60991b80b0d7
00ea2ea8-753b-4e4b-a3b4-451ae539feb7,a46c2598-b92a-4428-82ef-1099543986e2,4,09:00:00,13:00:00,2024-12-30 20:21:59.378192+00,2024-12-30 20:21:59.378192+00,04e0e5d7-2c84-4895-a6cc-f987f984d970
01579586-9a7d-418a-9c00-323a6c352ef5,54bff8a4-99f2-4f95-9c52-32f5f230ed89,4,09:00:00,19:00:00,2024-12-30 20:21:59.338473+00,2024-12-30 20:21:59.338473+00,cc7a72d4-8ae4-4a84-b422-60991b80b0d7
017578eb-b27b-4dfe-8fe9-a6fdbbd650e4,0e60ad8d-c008-48c1-a2f9-4baeaa90cba5,0,17:00:00,05:00:00,2024-12-30 20:21:59.500721+00,2024-12-30 20:21:59.500721+00,93699da0-5515-4542-8546-93872da9f07f
01904cc3-f68f-41bf-ba0a-a710eb22d2a4,e48dddd2-8628-4f7d-aa37-c466ce6d0436,1,05:00:00,17:00:00,2024-12-30 20:21:59.294443+00,2024-12-30 20:21:59.294443+00,1321f523-839d-4fd2-ba94-bdd463ffec57
01be6d95-dbfa-4e86-8e33-6101f7c21967,6c2c0ba7-8dbc-4dfc-a591-7e60a80ecfdc,3,05:00:00,17:00:00,2024-12-30 20:21:59.338473+00,2024-12-30 20:21:59.338473+00,1321f523-839d-4fd2-ba94-bdd463ffec57
01f32930-cca0-4dcd-879d-2c9cbaec99f8,ffce23ea-321c-493b-83fa-86e726857016,5,09:00:00,13:00:00,2024-12-30 20:21:59.416959+00,2024-12-30 20:21:59.416959+00,04e0e5d7-2c84-4895-a6cc-f987f984d970
02aa0c42-b763-41f2-8319-ececde617759,913d88da-6dc5-4d9b-b33e-8c8a68228ad2,5,17:00:00,05:00:00,2024-12-30 20:21:59.500721+00,2024-12-30 20:21:59.500721+00,93699da0-5515-4542-8546-93872da9f07f
02d0fc30-86f4-4f3d-9085-f1738a2984a7,644bc52d-9e3b-4a6e-bc6e-377ee52041c0,1,15:00:00,01:00:00,2024-12-30 20:21:59.378192+00,2024-12-30 20:21:59.378192+00,c69a69b2-c582-4e83-a8c2-1f3912869f29
035131f8-4a1b-49ec-b684-51bb9a594442,7a4e8aca-be77-4105-87b9-bc19d411b516,4,05:00:00,15:00:00,2024-12-30 20:21:59.294443+00,2024-12-30 20:21:59.294443+00,ac93bf7b-afd6-4d6b-b455-8b95924ef28a
